id_conag,atividade_conag
21,abacate
166,abacate
167,abacate
234,abacate
684,abacate
685,abacate
982,abacate
983,abacate
1051,abacate
1256,abacate
1257,abacate
1264,abacate
1265,abacate
1451,abacate
1560,abacate
1561,abacate
1566,abacate
1599,abacate
1684,abacate
1688,abacate
1842,abacate
1843,abacate
1844,abacate
1854,abacate
1855,abacate
1880,abacate
2132,abacate
2133,abacate
2138,abacate
2336,abacate
2337,abacate
2380,abacate
2381,abacate
2569,abacate
2668,abacate
2669,abacate
2674,abacate
2675,abacate
2696,abacate
2697,abacate
2869,abacate
2870,abacate
2876,abacate
2973,abacate
3045,abacate
3046,abacate
3152,abacate
3312,abacate
3313,abacate
3335,abacate
3336,abacate
3471,abacate
3472,abacate
3569,abacate
3575,abacate
3579,abacate
3580,abacate
3587,abacate
3588,abacate
3589,abacate
3590,abacate
3591,abacate
3611,abacate
3617,abacate
3618,abacate
3645,abacate
3646,abacate
3814,abacate
3815,abacate
3909,abacate
3910,abacate
3911,abacate
3912,abacate
3913,abacate
3914,abacate
3915,abacate
3916,abacate
3917,abacate
3918,abacate
3919,abacate
3920,abacate
3921,abacate
3922,abacate
3923,abacate
3924,abacate
3925,abacate
3926,abacate
3927,abacate
3928,abacate
4181,abacate
4797,abacate
4947,abacate
5041,abacate
5042,abacate
5156,abacate
5157,abacate
5258,abacate
5259,abacate
5666,abacate
5827,abacate
5828,abacate
5858,abacate
5859,abacate
5860,abacate
5861,abacate
5862,abacate
5863,abacate
5864,abacate
5865,abacate
5866,abacate
5867,abacate
5868,abacate
5869,abacate
6041,abacate
6042,abacate
6059,abacate
6087,abacate
6128,abacate
6222,abacate
6223,abacate
6236,abacate
6237,abacate
6238,abacate
6239,abacate
6240,abacate
6241,abacate
6242,abacate
6243,abacate
6244,abacate
6245,abacate
6246,abacate
6247,abacate
6248,abacate
6249,abacate
6250,abacate
6251,abacate
6252,abacate
6253,abacate
6254,abacate
6255,abacate
6256,abacate
6257,abacate
6258,abacate
6259,abacate
6499,abacate
6500,abacate
6528,abacate
6582,abacate
6658,abacate
6806,abacate
