id_conag,fazenda_conag
924,FAZENDA DAS TRES MARIAS
931,FAZENDA DAS TRES MARIAS
976,FAZENDA DAS TRES MARIAS
1140,FAZENDA DAS TRES MARIAS
1213,FAZENDA DAS TRES MARIAS
1214,FAZENDA DAS TRES MARIAS
1405,FAZENDA DAS TRES MARIAS
7212,FAZENDA DAS TRES MARIAS
7409,FAZENDA DAS TRES MARIAS
5,FAZENDA INVERNADA
7,FAZENDA INVERNADA
13,FAZENDA INVERNADA
14,FAZENDA INVERNADA
24,FAZENDA INVERNADA
25,FAZENDA INVERNADA
26,FAZENDA INVERNADA
27,FAZENDA INVERNADA
28,FAZENDA INVERNADA
36,FAZENDA INVERNADA
37,FAZENDA INVERNADA
75,FAZENDA INVERNADA
81,FAZENDA INVERNADA
96,FAZENDA INVERNADA
98,FAZENDA INVERNADA
99,FAZENDA INVERNADA
107,FAZENDA INVERNADA
114,FAZENDA INVERNADA
130,FAZENDA INVERNADA
134,FAZENDA INVERNADA
138,FAZENDA INVERNADA
147,FAZENDA INVERNADA
148,FAZENDA INVERNADA
150,FAZENDA INVERNADA
153,FAZENDA INVERNADA
154,FAZENDA INVERNADA
163,FAZENDA INVERNADA
164,FAZENDA INVERNADA
172,FAZENDA INVERNADA
176,FAZENDA INVERNADA
180,FAZENDA INVERNADA
183,FAZENDA INVERNADA
184,FAZENDA INVERNADA
187,FAZENDA INVERNADA
188,FAZENDA INVERNADA
189,FAZENDA INVERNADA
195,FAZENDA INVERNADA
196,FAZENDA INVERNADA
198,FAZENDA INVERNADA
200,FAZENDA INVERNADA
213,FAZENDA INVERNADA
222,FAZENDA INVERNADA
225,FAZENDA INVERNADA
227,FAZENDA INVERNADA
263,FAZENDA INVERNADA
265,FAZENDA INVERNADA
266,FAZENDA INVERNADA
269,FAZENDA INVERNADA
271,FAZENDA INVERNADA
272,FAZENDA INVERNADA
273,FAZENDA INVERNADA
274,FAZENDA INVERNADA
278,FAZENDA INVERNADA
281,FAZENDA INVERNADA
285,FAZENDA INVERNADA
286,FAZENDA INVERNADA
